BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
BABAGANJ,Others,2024-04-01T10:04:37.097,Others,PRATAPGARH,838013,"श्रीमान जी,  जिप्सम लेने के लिए आप अपने नजदीकी जन सेवा केंद्र से संपर्क करके जिप्सम ले सकते हैं |","Want to buy gypsum, where can I get it?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",1,4,2024
SHIVGARH,Others,2024-04-01T10:54:42.743,Others,PRATAPGARH,837948,"श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना से संबंधित अधिक जानकारी के लिए अपने जिले के उप कृषि निदेशक के कार्यालय (कृषि भवन) से संपर्क करें अथवा अपने ब्लॉक पर राजकीय कृषि बीज भंडार पर बीज प्रभारी से संपर्क करें |","Installment is not coming under Pradhanmantri Kisan Samman Nidhi Yojana?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",1,4,2024
MANDHATA,Others,2024-04-02T18:54:37.633,Others,PRATAPGARH,844902,"प्रधानमंत्री किसान सम्मान निधि योजना के तहत किस्त का भुगतान न होने की स्थिति में आप https://pmkisan.gov.in/Grievance.aspx के माध्यम से किसान कार्नर में दिए गए हेल्प डेस्क पर जाकर ऑनलाइन शिकायत दर्ज करा सकते हैं। या जिले के राजस्व अधिकारी ( रिवेन्यू अधिकारी ) से संपर्क करें. पीएम किसान योजना का हेल्पलाइन नंबर 011-24300606 और 155261,01123381092,1800115526 है।","PM Kisan-Information regarding PM Kisan Samman Yojana online graviance  ?
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",2,4,2024
BABAGANJ,Millets,2024-04-03T14:42:21.773,"Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)",PRATAPGARH,851654,"सर आप जायद में बाजरे की उन्नतशील राज-171,पूसा कम्पोजिट-383 प्रजातियों का चयन कर सकते हैं तथा बुवाई करते समय 1.5-2 किलोग्राम बीज प्रति एकड़ प्रयोग करें |","Information about Varieties & Seed rate of Pearl Millet...?",Varieties,NA,AGRICULTURE,"UTTAR PRADESH",3,4,2024
LAKSHAMANPUR,Fruits,2024-04-03T17:08:00.423,Citrus,PRATAPGARH,851700,"श्रीमानजी आप नींबू में फूल की वृद्धि के लिए अल्फा नेप्थाइल एसिटिक एसिड 4.5% SL (प्लानोफिक्स) 1ml/3 लिटर पानी में घोल कर स्प्रे करे |","Information about in Citrus for Flowering Drops...?","Nutrient Management",NA,HORTICULTURE,"UTTAR PRADESH",3,4,2024
SANGIPUR,Cereals,2024-04-04T07:48:53.303,Wheat,PRATAPGARH,856534,"महोदय, 04 अप्रैल से 10 अप्रैल के मध्य 7 अप्रैल में बूंदा-बांदी होने की संभावना है,आंशिक रूप से बादल छाए रहेंगे।आज का न्यूनतम तापमान 29 डिग्री सेल्सियस और अधिकतम तापमान 39 डिग्री सेल्सियस है और हवा की गति 07 से 14 किलोमीटर प्रति घंटा रहने की संभावना है, मौसम के अनुसार कृषि कार्य को करें|
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",4,4,2024
BABAGANJ,Cereals,2024-04-04T09:43:50.44,Wheat,PRATAPGARH,859591,"श्रीमान जी आपके क्षेत्र में 4 अप्रैल से 10 अप्रैल के बीच प्रत्येक दिन हल्के और आंशिक रूप से बादल बने रहने की संभावना है,जिसमें से 7 अप्रैल को हल्की बूंदाबांदी की भी संभावना है,आज का अधिकतम तापमान 39 डिग्री तथा न्यूनतम 23 डिग्री सेंटीग्रेड है, हवाओं की गति 7 से 11 किलोमीटर प्रति घंटा के बीच रहने की संभावना है,समस्त कृषि कार्य मौसम के अनुसार करें","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",4,4,2024
PATTI,Others,2024-04-04T11:09:38.887,Others,PRATAPGARH,859694,"श्रीमान पीएम किसान सम्मन निधि योजना की अभी साइट नहीं चल पाने के कारण हम आपका फॉर्म चेक करने में असमर्थ है अतः आपसे अनुरोध है कि आप कुछ समय बाद या कल कॉल करके जानकारी  प्राप्त कर सकते हैं धन्यवाद","Farmer Ask About PM Kisan Samman Nidhi Yojana ?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",4,4,2024
"ASPUR DEOSARA",Cereals,2024-04-04T15:19:56.97,Wheat,PRATAPGARH,860120,"श्रीमान जी 04 अप्रैल से 10 अप्रैल के बीच पूरे सप्ताह हल्के बादल रहने की संभावना है 07 अप्रैल को कहीं -कहीं छिटपुट बूंदाबांदी होने की संभावना है आज का न्यूनतम तापमान 25 ° C एवं  अधिकतम तापमान 32 ° C  तथा हवा की गति 04 किलोमीटर प्रति घंटा रहने की संभावना है मौसम के अनुसार कृषि कार्य को करें","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",4,4,2024
GAURA,Cereals,2024-04-04T16:39:39.003,Wheat,PRATAPGARH,859310,"महोदय आपके  यहाँ  04 अप्रैल – 10 अप्रैल तक  मौसम  में  हलके  फुल्के  बादल  तो  बने  रहेंगे|, लेकिन  बारिश  होने  की  संभावना नहीं  है| ,आज  का  आपेक्षित  अधिकतम  तापमान  (37°C  और  न्यूनतम  तापमान  27°C और  हवा  की  गति  07-11 किलोमीटर  / घंटा  ) चलने  की  संभावना  है |, और  आप  मौसम के अनुसार कृषि कार्य को  करे|
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",4,4,2024
