BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
SEHPAU,Others,2022-06-22T14:18:44.613,Others,HATHRAS,1689341,"श्रीमान जी तकनीकी समस्या के कारण प्रधानमंत्री किसान सम्मान निधि योजना का स्टेटस सर्च नहीं हो सकता है कृपया कुछ समय बाद पुनः संपर्क करें 
","Information about beneficiary status of PM kisan samman nidhi scheme
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
RAJEPUR,Cereals,2022-06-22T14:19:21.117,"Paddy (Dhan)",FARRUKHABAD,1689261,"श्रीमान जी धान की नर्सरी की बुवाई 21 मई से 20 जून तक करते हैं/धान की नर्सरी 21 मई से 20 जून तक डाली जाती है | ","What is the time of sowing of paddy nursery / till when is it planted ?","Agriculture Mechanization",NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
ALIGANJ,Others,2022-06-22T14:20:54.64,Others,ETAH,1689325,"महोदय 2 और 3 हार्सपावर के सोलर पम्प पर 60 प्रतिशत तथा 5 हार्सपावर के सोलर पम्प पर  60 प्रतिशत अनुदान है अधिक जानकारी के लिए उप जिला कृषि निदेशक कार्यालय में संपर्क करें","Information about of solar pump yojana ?
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
HARRAIYA,Others,2022-06-22T14:21:12.877,Others,BASTI,1689267,"
महोदय 22-27 जून के बीच आंशिक रूप से बादल छाए रहेंगे जिसमे आपके यहाँ जिसमें पूरे सप्ताह बारिश होने की कोई संभावना नहीं है | आज का न्यूनतम तापमान 29 डिग्री सेल्सियस और अधिकतम तापमान 35 डिग्री सेल्सियस है और हवा की गति 4-7 किमी/घंटा होने की संभावना है।मौसम के अनुसार कृषि कार्य करें |
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
SAIDABAD,Others,2022-06-22T14:23:12.39,Others,ALLAHABAD,1689367," श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना से संबंधित अधिक जानकारी के लिए आप अपने यहां के राजकीय बीज गोदाम प्रभारी या जिला कृषि उपनिदेशक कार्यालय पर संपर्क करें या विभाग के नंबर पर संपर्क - 011 - 23381092 करके जानकारी प्राप्त करें 
","Provide information related to Pradhan Mantri Kisan Samman Nidhi Yojana
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
SAHABGANJ,Cereals,2022-06-22T14:23:17.04,"Paddy (Dhan)",CHANDAULI,1689369,"श्रीमान जी, यदि धान की नर्सरी पीली पड़ रही है तो यूरिया 20 ग्राम व जिंक सल्फेट 5 ग्राम प्रति लीटर पानी में घोल बनाकर छिड़काव करें |","Yellowing leaf in Paddy Nursery...?","Nutrient Management",NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
BANKEYGANJ,Others,2022-06-22T14:23:23.123,Others,KHERI,1689317,"श्रीमानजी प्रधान मंत्री किसान सम्मान निधि योजना के लिए आप 155261 / 011-24300606, 1800115526, 05222204450 पर सम्पर्क करे","Pradhan Mantri kisan samman nidhi yojana ki jankari de ....?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
BILSANDA,Others,2022-06-22T14:23:44.353,Others,PILIBHIT,1689251,"श्रीमान जी,सोलर पंप पर सब्सिडी का लाभ लेने के लिए आप ब्लॉक के राजकीय कृषि बीज गोदाम प्रभारी महोदय से अथवा जिले के उप कृषि निदेशक कार्यालय में संपर्क करें|","Information about how to get solar pump on subsidy?
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
LALGANJ,Others,2022-06-22T14:24:22.763,Others,AZAMGARH,1689384,"महोदय आपके क्षेत्र में 22-27 जून के बीच बूंदाबांदी होने की संभावना है,आंशिक रूप से बादल छाए रहेंगे। आज का न्यूनतम तापमान 28°C और अधिकतम तापमान 35°C एवं हवा की गति 4-14 किलोमीटर प्रति घंटा रहने की संभावना है। मौसम के अनुसार कृषि कार्य को करे |","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
MANIAR,Others,2022-06-22T14:25:12.387,Others,BALLIA,1689340,"श्रीमान जी किसान क्रेडिट कार्ड को यदि बैंक नहीं बना रहा है तो उसकी शिकायत अपने जिले में बैंक की मुख्य शाखा से करें अथवा सीएम हेल्पलाइन नंबर 1076 पर कॉल करके शिकायत दर्ज कराएं","Give information for complaint related to kisan credit card ?",Credit,NA,AGRICULTURE,"UTTAR PRADESH",22,6,2022
