BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
SARSOL,Others,2022-10-25T08:45:43.953,Others,"KANPUR CITY",3131552,"श्रीमान जी किसान सम्मान निधि संशोधन के लिए जिला उप कृषि निदेशक से संपर्क करें
","provide about information of bank account correction in Kisan Samman Nidhi ?

","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",25,10,2022
HARGAON,Others,2022-10-25T08:48:34.18,Others,SITAPUR,3131543,"श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना में आपकी 11वीं किस्त 17 अक्टूबर को भेजी जा चुकी है |","Information about Prime Minister Kisan Samman Nidhi Yojana Status..? ","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",25,10,2022
"RAM PUR",Others,2022-10-25T08:51:31.477,Others,JAUNPUR,3131597,"श्रीमान जी पीएम किसान सम्मान निधि के बारे में जानने के लिए आप अपने रजिस्ट्रेशन नंबर अथवा रजिस्टर्ड मोबाइल नंबर उपलब्ध कराएं जिससे आपको जानकारी दी जा सके 18001801488 या राजकीय बीज भंडार या उप कृषि निदेशक कार्यालय पर संपर्क करें","Information about pm kisan samman nidhi yojana ..?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",25,10,2022
BHUTA,Others,2022-10-25T09:02:15.207,Others,BAREILLY,3131547,"श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना संबंधित शिकायत निवारण के लिए हेल्पलाइन 1800-180-1488 नंबर पर संपर्क करें","Information about problem of not getting the benefit of Kisan Samman Nidhi Scheme","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",25,10,2022
AMROHA,"Plantation Crops",2022-10-23T16:38:35.69,"Oil palm","JYOTIBA PHULE NAGAR",3120129,"सर आप Imidacloprid 17.8%SL 10ml प्रति एकड़ 15 लीटर पानी में घोलकर स्प्रे करें |","Information about pest control in Palm tree..?","	Plant Protection	",NA,HORTICULTURE,"UTTAR PRADESH",23,10,2022
"RAMPUR SANRAMGARH",Cereals,2022-10-23T16:38:46.52,"Paddy (Dhan)",PRATAPGARH,3120143,"Cartap Hydrochloride  4% जीआर 8-10 किलोग्राम/एकड़ धन के खेत में दलवये और सिंचाई करे","tell me information about pest management in rice crop ?","	Plant Protection	",NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
FIROZABAD,Others,2022-10-23T16:39:03.38,Others,FIROZABAD,3120159," श्रीमान जी आप प्रधानमंत्री किसान सम्मान निधि योजना के अंतर्गत किसी भी प्रकार का संशोधन एवं जानकारी हेतु - विकासखण्ड के राजकीय कृषि बीज भण्डार के गोदाम प्रभारी अथवा जनपद के उप कृषि निदेशक से सम्पर्क करे  | "," Information about Pradhan Mantri Kisan Samman Nidhi Yojana ?  

  

 ","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
MIRGANJ,Others,2022-10-23T16:41:20.193,Others,BAREILLY,3120186," श्रीमान जी कृषि निदेशालय लखनऊ के नंबर पर 1800180 1488 कॉल करके आप अधिक जानकारी ले सकते हैं","Tell me about the Pradhan Mantri Kisan Samman Nidhi Yojana ?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
GOHAND,Vegetables,2022-10-23T16:43:08.287,"Peas (field peas/ garden peas/matar)",HAMIRPUR,3119878,"श्रीमान जी खादें (किलोग्राम प्रति एकड़)

   UREA  SSP  MOP
  30        150         30
प्रति एकड़ प्रयोग करें","information about pea nutrient management","Fertilizer Use and Availability",NA,HORTICULTURE,"UTTAR PRADESH",23,10,2022
KARWI,Others,2022-10-23T16:43:54.273,Others,CHITRAKOOT,3120123,"श्रीमान जी आपके यहां पूरे सप्ताह मौसम बिल्कुल साफ रहेगा बारिश की संभावना नहीं है मौसम को देखते हुए कृषि कार्य करें|","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
Amethi,Others,2022-10-23T16:47:52.44,Others,"AMETHI ( Shahu Ji Maharaj)",3120218,"श्रीमान जी पीएम किसान सम्मान निधि की जानकारी तकनीकी समस्या के कारण देने में असमर्थ हैं अतः आप 18001801488 संपर्क करें या राजकीय बीज भंडार या उप कृषि निदेशक कार्यालय पर संपर्क करें","Information about PM Kisan Samman Nidhi..?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
HOLAGARH,Oilseeds,2022-10-23T16:48:47.693,Mustard,ALLAHABAD,3120151," महोदय जी-23 अक्टूबर से 28 अक्टूबर तक मौसम साफ रहने की संभावना है ,अधिकतम तापमान 30 डिग्री सेल्सियस न्यूनतम तापमान 15 डिग्री सेल्सियस रहने की संभावना है, हवा की गति 4 से 11 किलोमीटर प्रति घंटा की रफ्तार से चलने की संभावना है, मौसम के पूर्वानुमान के अनुसार कार्य करें |
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
"MOHAMMADABAD GOHANA",Fruits,2022-10-23T16:52:12.257,Papaya,MAU,3120198,"श्रीमान जी पपीते की प्रजातियां Honey Dew,Pusa Delicious,Pusa Majesty,Coorg Honey Dew,Pusa Dwarf,Pusa Giant,Pusa Giant हैं","Provide information about varieties of Papaya? 
","Cultural Practices",NA,HORTICULTURE,"UTTAR PRADESH",23,10,2022
USAWAN,Others,2022-10-23T16:56:30.5,Others,BADAUN,3120125,"श्रीमान जी PM-Kisan Helpline No: 011-24300606,155261 पर कॉल करके जानकारी प्राप्त कर सकते हैं |
","Information about Prime Minister Kisan Samman Nidhi Yojana Toll Free Number......?
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
"RAMIA BEHAR",Others,2022-10-23T16:58:12.07,Others,KHERI,3120175,"श्रीमान जी पीएम- किसान सम्मान निधि योजना संबंधित अधिक जानकारी हेतु अपने ब्लॉक पर या फिर जिले के उप कृषि निदेशक जी कार्यालय से संपर्क करें| संबंधित अधिक जानकारी हेतु हेल्पलाइन नंबर पर संपर्क करें- 011-24300606/155261/1800 11 5526.  (नई-दिल्ली) ","Information about PM- Kisan Samman Nidhi Yojana (PM- KSNY)......?","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
"THANA BHAWAN",Others,2022-10-23T17:16:42.993,Others,"SHAMLI (PRABUDH NAGER)",3120167,"श्रीमान जी पीएम किसान सम्मान निधि की वेबसाइट में कुछ तकनीकी समस्या के कारण मैं आपका स्टेटस चेक करने में असमर्थ हूं आप कुछ समय बाद जानकारी ले सकते हैं या Pm.kisan.gov.in की वेबसाइट पर जाकर के स्वयं चेक कर सकते हैं अधिक जानकारी के लिए PM-Kisan Helpline No. 155261 / 011-24300606, 18001801488
","Information about beneficiary status of pm kisan samman nidhi scheme...?
","Government Schemes",NA,AGRICULTURE,"UTTAR PRADESH",23,10,2022
