BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
CHITRADURGA,Others,2022-07-02T12:37:56.017,Others,CHITRADURGA,1794802,"PMFBY ಬೆಳೆ ವಿಮೆ ಹಕ್ಕು ಪಡೆಯಲು ಸೂಚಿಸಲಾಗಿದೆ. ಸಮ್ರಾಕ್ಷನೆ. ಬೆಳೆ ವಿಮಾ ಯೋಜನೆಗಳಡಿ ರೈತರಿಗೆ ದಾಖಲಾತಿ, ಹಕ್ಕುಗಳನ್ನು ನೋಂದಾಯಿಸುವುದು, ಪರಿಹಾರದ ಲೆಕ್ಕಾಚಾರ ಮತ್ತು ಪರಿಹಾರವನ್ನು ಪಾವತಿಸಲು ಪಾರದರ್ಶಕ ಮತ್ತು ರೈತ ಸ್ನೇಹಿ ವ್ಯವಸ್ಥೆ. ಇ-ಆಡಳಿತ ಸಚಿವಾಲಯ, ಕರ್ನಾಟಕ ಸರ್ಕಾರದ ವೆಬ್‌ಸೈಟ್: ಫಾಸಲ್ ಬಿಮಾ ಯೋಜನೆ - 18004250505 ಅಥವಾ 18002664141 ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಬೆಳೆ ವಿಮೆ)   8277929826  8277929989  08022074123 08022074188  ಜಂಟಿ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಬೆಳೆ ವಿಮೆ) 8277929822 08022074123   https://www.samrakshane.karnataka.gov.in","Asked about PMFBY crop insurance claim  
","Government Schemes",NA,AGRICULTURE,KARNATAKA,2,7,2022
ATHNI,"Sugar and Starch Crops",2022-07-02T12:59:54.45,"Sugarcane (Noble Cane)",BELGAUM,1794813,"--suggested to spray chloropyriphos 2ml/l
","Asked about plant protection in sugarcane
","	Plant Protection	",NA,AGRICULTURE,KARNATAKA,2,7,2022
JEVARGI,Others,2022-07-02T13:04:06.42,Others,GULBARGA,1794553,"suggested to spray
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2022
ALAND,Oilseeds,2022-07-02T13:10:53.86,"Soybean (bhat)",GULBARGA,1794829,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2022
INDI,Oilseeds,2022-07-02T13:27:03.12,"Sunflower (suryamukhi)",BIJAPUR,1799366,"When planting sunflower seeds, tuck them into soil between 1 and 2 inches deep. Space them roughly 6 inches apart. Soil temperature and moisture influence how long it takes for sunflower seeds to germinate, but in most cases you should see sprouts in 7 to 10 days","Asked about general information
",Seeds,NA,AGRICULTURE,KARNATAKA,2,7,2022
SINDAGI,"Fiber Crops",2022-07-02T13:34:25.457,"Cotton (Kapas)",BIJAPUR,1799667,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ . ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2022
"0   ","Plantation Crops",2022-07-02T13:36:42.3,Coconut,BANGALORE,1799496,"
Given necessary information
","Asked about Nutrient management in coconut
","Nutrient Management",NA,HORTICULTURE,KARNATAKA,2,7,2022
HOSDURGA,"Fiber Crops",2022-07-02T13:50:06.977,"Cotton (Kapas)",CHITRADURGA,1799472,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2022
SEDAM,Others,2022-07-03T13:03:09.053,Others,GULBARGA,1805153,"ವಾತಾವರಣವಿದ್ದು ಮಧ್ಯಮ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿವೆ (50 %). ಇಂದಿನ ನಿರೀಕ್ಷಿತ ಗರಿಷ್ಠ ತಾಪಮಾನ 28  ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್ ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 22  ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್ ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 16 ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ. ಹಾಗೂ ಹವಾಮಾನ ಮುನ್ಸೂಚನೆಯನ್ನು ನೋಡಿ ಹೆಚ್ಚು ಮಳೆಯಾದಲ್ಲಿ ನಿಮ್ಮ ಬೆಳೆಗೆ ನೀರು ಕೊಡುವುದನ್ನು ನಿಲ್ಲಿಸಬೇಕು. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರದವರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999  
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,3,7,2022
HAGARIBOMMANAHALLI,Millets,2022-07-03T13:08:00.18,"Maize (Makka)",BELLARY,1805457,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ(25%)  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433 403725347307

","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,3,7,2022
Yadagiri,Others,2022-07-03T13:08:33.017,Others,YADAGIRI,1805328,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (10%).  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999 / 9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,3,7,2022
AFZALPUR,Flowers,2022-07-03T13:08:45.45,Chrysanthemum,GULBARGA,1805215,"FASAL BHIMA YOJANA helpline  ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಬೆಳೆ ವಿಮೆ)   8277929826  8277929989  08022074123 08022074188  ಜಂಟಿ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಬೆಳೆ ವಿಮೆ) 8277929822 08022074123  
","Asked about PMFBY Scheme 
","Government Schemes",NA,HORTICULTURE,KARNATAKA,3,7,2022
