BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
GADAG,Others,2023-04-08T12:01:51.277,Others,GADAG,4935639,"
Year  (*)	
2022-2023
Season  (*)	
Kharif
Check Status By Type	ProposalMobile NoAadhaar		
Application No	
2239861
Captcha	
 Submit	

   


INSURANCE COMPANY - Bajaj Allianz GIC

Proposal	MobileNo.	AadhaarNo.	ProposerName.	Status.	Bank.	Branch	 
2239861	XXXXXX893	XXXXXX	Yallappa pakirappa Rajoor	ವಿಮಾ ಕಂಪನಿಯಿಂದ ಅರ್ಜಿ ಸ್ವೀಕೃತಿಯಾಗಿದೆ/Application Acknowledge by Insurance Co.	CSC Centers	CSC Centers	Select



ApplicationNo	surveyno	CropId	cropcode	CP_RefNo	PaymentType	Acc.No.	UTR No.:: Payment status	Amount	PaidDate
2239861	 	2249969	3	46512	LR Compensation	XXXXXX9453	7023964144::Payment Success	1384.070000	09122022
2239861	62/*/1	2249969	3	51785	CCE Compensation	 	::PAYMENT PROCESS IN PROGRESS	0.000000	 
Application No :2239861 - ShortFall % : 16.070933 - Status :Valid Proposal in IU Eligible For CCE-Compensation
Ver. : 10.7.0              Rel. Date : 01/12/2022              Hit Count : 108413135Designed By : National Informatics ","Asked about PMFBY crop insurance claim
","Training and Exposure Visits",NA,AGRICULTURE,KARNATAKA,8,4,2023
GADAG,Others,2023-04-08T12:02:31.32,Others,GADAG,4935638,"bajaj aliance 18002095959
","Asked about PMFBY crop insurance claim
","Government Schemes",NA,AGRICULTURE,KARNATAKA,8,4,2023
ALAND,Others,2023-04-06T21:22:03.323,Others,GULBARGA,4922681,"Precipitation: 60%
Humidity: 46%
Wind: 13 km/h
Weather
Thursday
Scattered Showers","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,6,4,2023
SINDHANUR,Pulses,2023-04-06T21:31:09.14,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",RAICHUR,4922675,"BAILHONGAL	05/04/2023	Jawari/Local		4620	4950	
www.krishimaratavahini.kar.nic.in
080-22259182","Asked about Market rate of   bengalgram
","Market Information",NA,AGRICULTURE,KARNATAKA,6,4,2023
ATHNI,Cereals,2023-04-07T08:34:36.647,Wheat,BELGAUM,4923600,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿವೆ (70 %). ಹವಾಮಾನ ಮುನ್ಸೂಚನೆಯನ್ನು ನೋಡಿ ಹೆಚ್ಚು ಮಳೆಯಾದಲ್ಲಿ ನಿಮ್ಮ ಬೆಳೆಗೆ ನೀರು ಕೊಡುವುದನ್ನು ನಿಲ್ಲಿಸಬೇಕು. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರದವರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999  ಮತ್ತು 9243345433. 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,7,4,2023
HIRIYUR,Pulses,2023-04-07T08:40:49.253,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",CHITRADURGA,4923584,"05/04/2023
Mandi  : Chitradurga
Commodity : Bengal Gram(Gram)(Whole)
(Modal Price): 5089/Quintal","Farmer asked price detail of Bengal Gram(Gram)(Whole) in Chitradurga mandi.","Market Information",NA,AGRICULTURE,KARNATAKA,7,4,2023
AFZALPUR,Others,2023-04-07T08:49:26.977,Others,GULBARGA,4923589,"Call disconnected    
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,7,4,2023
MUDIGERE,"Plantation Crops",2023-04-07T09:05:18.96,Arecanut,CHIKMAGALUR,4923576,"06/04/2023
Mandi  : Shimoga
Commodity : Arecanut(Betelnut/Supari)
(Modal Price): 70000/Quintal
SHIVAMOGGA	06/04/2023	Rashi	30099 - 45296","Farmer asked price detail of Arecanut(Betelnut/Supari) in Shimoga mandi.","Market Information",NA,HORTICULTURE,KARNATAKA,7,4,2023
BIJAPUR,Others,2023-04-07T09:08:50.637,Others,BIJAPUR,4923579,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 20% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದ, ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433

","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,7,4,2023
HIRIYUR,Others,2023-04-08T07:47:17.057,Others,CHITRADURGA,4932419,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ 20 - 30% ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,8,4,2023
