OBJECTID,DA_Id,DA_Name,In_Effect_Desc,Shape.STArea(),Shape.STLength()
18,4541,North Issaquah,April 1 2026 to March 31 2027,26021302468.358097,1088108.075221595
3,2010,Benge,April 1 2026 to March 31 2027,10943238972.148663,515244.1787843215
2,3682,Ahtanum,April 1 2026 to March 31 2027,6256904146.139896,544388.2685403853
9,2013,North Okanogan,April 1 2026 to March 31 2027,4042936203.5345078,352766.5083088277
17,1010,,April 1 2026 to March 31 2027,3985509357.5865116,556713.6135674856
